,okved,cluster
683,DUS4L-BCAP29,230
684,MIR6764,163
685,MIR3622A,93
686,SSX4,8
687,PLSCR3,86
688,BAGE3,83
689,MIR6791,47
690,IGHV3OR16-10,19
691,H2AC10P,68
692,MIR3192,149
693,H3-3A,162
694,GAGE12J,11
695,IGKV1-16,24
696,MIR3913-1,124
697,ZNF568,182
698,CCT3,293
699,ATP11C,86
700,UGT2B4,141
701,IGLV3-21,22
702,MIR3670-2,33
703,MIR6802,200
704,MIR5591,40
705,OR5T1,145
706,MIR6729,6
707,LOC408186,136
708,IGLV1-44,22
709,MIR4509-1,226
710,OR5AM1P,30
711,IGHV3-53,24
712,SPDYE16,59
713,OR5B19P,46
714,CTAGE4,297
715,IGHV1-58,116
716,OR7E84P,316
717,MIR3174,304
718,IGHV3-30-5,106
719,OR6M2P,68
720,MIR6855,6
721,IGKV2D-29,82
722,TAS2R50,271
723,TRBV6-1,16
724,IGHV4-30-4,106
725,MIR2861,192
726,MIR3670-4,33
727,IGHV2-70,24
728,MIR5588,32
729,CT47A8,78
730,CGB1,207
731,GAGE4,104
732,SPDYE15,88
733,OR9I2P,101
734,MIR8086,188
735,OR7E46P,185
736,TRBV20-1,120
737,IGHV3-15,22
738,TRBV7-2,103
739,MIR6806,200
740,OR7E121P,258
741,MIR8070,179
742,IGLV3-27,24
743,MIR6727,15
744,MIR4771-2,177
745,TRAJ40,1
746,TRAJ25,1
747,IGHV1OR21-1,111
748,TRAJ11,1
749,IGHV1-45,116
750,OR8V1P,101
751,TSPY4,253
752,MIR7153,210
753,FAM90A12P,13
754,IGHV4-39,22
755,RTL8C,76
756,TRAJ2,1
757,OR7E106P,185
758,MIR3657,257
759,TEX54,29
760,C1QB,221
761,MIR4447,190
762,MIR8082,40
763,OR4R2P,125
764,H4C11,197
765,OR5M12P,30
766,PCDHGA5,25
767,IGHV3OR16-9,19
768,TRBJ2-5,113
769,OR2L6P,250
770,TPRX1P1,98
771,MIR6075,135
772,USP17L1,268
773,MIR6740,15
774,TMEM225,29
775,LRRC14B,184
776,MIR1270,194
777,MIR1285-1,32
778,GTF2IRD2B,295
779,USP17L26,44
780,OR4A9P,84
781,MIR941-1,149
782,OR4K7P,288
783,RPL32,93
784,RPL23A,94
785,IGHG4,215
786,LY6L,108
787,TEX51,133
788,PLA2G3,31
789,MIR1233-1,115
790,IGHV1-46,24
791,MIR6082,40
792,ANKRD20A4P,270
793,MIR6760,43
794,MIR4428,15
795,OR7A3P,77
796,MIR6782,238
797,DUX4L4,70
798,TRBV10-3,16
799,OR5BC1P,101
800,STAG3L3,162
801,MIR3689B,153
802,USP17L29,44
803,OR52N1,97
804,OR5AC1,181
805,IGLC1,63
806,PRAMEF20,12
807,MIR4305,149
808,PLA2G2A,31
809,PCDHA1,28
810,MIR6874,73
811,TRBV11-1,26
812,PLCD4,119
813,MIR7108,200
814,OR9L1P,101
815,IGKV3-11,22
816,MIR6784,307
817,MIR6882,128
818,SPDYE2B,59
819,USP17L27,44
820,MOGAT1,217
821,OR13F1,145
822,MIR5589,200
823,TRNAE-CUC,167
824,TRGV3,99
825,TM4SF19-DYNLT2B,267
826,H2BC7,122
827,MIR3914-1,21
828,IGLV5-48,37
829,IGLV7-46,85
830,TRBV27,16
831,OR51F3P,110
832,IGLV3-19,22
833,MIR5088,47
834,TRBV4-3,113
835,CDY1B,7
836,PLD4,86
837,LRRC37A,306
838,TRBJ2-4,113
839,ARHGAP30,65
840,MIR1273H,32
841,FAM90A16,225
842,MIR5707,109
843,IGHV3-11,24
844,MIR6876,155
845,OR4C10P,90
846,IGLV2-8,22
847,OR9G3P,30
848,MIR3160-1,105
849,H3C14,49
850,MIR6813,273
851,MIR5009,107
852,SNX14,130
853,MIR8074,200
854,MIR5739,176
855,MIR5701-2,143
856,IGHV3-7,22
857,MIR5695,47
858,OR4C7P,125
859,OR7E160P,48
860,MIR6862-1,17
861,TAF11L12,278
862,IGKV1D-39,24
863,AMY1C,50
864,TRNAG-GCC,5
865,OR7E97P,48
866,OR5BE1P,30
867,MIR941-5,171
868,KRTAP13-3,201
869,OR4A48P,125
870,TRBV5-5,26
871,PCDHGCT,228
872,PCDHA11,28
873,IGHV3-9,24
874,TRAV13-1,103
875,MIR548AX,95
876,PRAMEF14,12
877,MIR3171,163
878,OR8K4P,84
879,IGHV1-24,116
880,KRTAP13-4,201
881,OR5M13P,30
882,IGLV1-40,22
883,OR10G1P,20
884,OR4A4P,185
885,TRNAG-UCC,5
886,MIR3688-2,45
887,USP17L11,44
888,MIR3115,180
889,USP17L21,44
890,MIR544B,190
891,TRAJ22,1
892,OR2X1P,250
893,IGHV3OR16-13,19
894,MIR6770-2,251
895,OR52Z1P,172
896,AGAP6,56
897,RABL2B,252
898,OR2AQ1P,169
899,ATP8A1,86
900,IGKV1D-42,37
901,OR7E109P,185
902,IGLV3-25,22
903,TP53TG3C,89
904,MIR5194,282
905,OR2T35,294
906,IGLV8-61,85
907,MIR6885,200
908,TRAV16,216
909,TRAJ43,1
910,RPS17,93
911,MIR4507,32
912,MIR6076,163
913,IGHV3-38-3,218
914,TTTY4B,74
915,TRAJ21,1
916,USP17L23,44
917,MIR1233-2,115
918,H2AC3P,98
919,MAGEA3,208
920,MIR3926-1,55
921,TRAV28,20
922,MIR7704,32
923,TRAV6,175
924,TSPY3,253
925,TRAJ32,1
926,MIR1185-2,203
927,OR5AK1P,92
928,MIR7848,304
929,SPATA31C1,234
930,MIR6732,196
931,OR4A50P,84
932,OR5M7P,134
933,OR9H1P,98
934,TRBV4-1,16
935,CDY2A,7
936,MIR6746,112
937,ACBD7-DCLRE1CP1,188
938,OR9M1P,46
939,MIR5583-1,210
940,GOLGA8N,18
941,OR56A4,145
942,MIR4438,177
943,MIR4650-1,302
944,MIR4264,153
945,FAM246A,279
946,IGKV4-1,51
947,MIR6858,95
948,OR4A6P,90
949,MIR6826,190
950,DGKK,217
951,GAGE12F,11
952,OR8K1,0
953,MIR7155,109
954,MIR6847,155
955,TRAV32,20
956,MIR5584,15
957,TRAV26-2,175
958,NCF1B,75
959,MIR5691,112
960,IGHV1-69,22
961,OR2W4P,273
962,GAGE12C,179
963,H2BP6,88
964,MIR6511A3,118
965,MIR548AZ,209
966,MIR4327,140
967,OR56A1,145
968,MIR3199-2,199
969,OR4A46P,46
970,AMY1B,50
971,TPSB2,219
972,MIR3135A,69
973,MIR3116-2,15
974,MIR6793,200
975,OR51A9P,172
976,PCDHA7,28
977,MIR892C,114
978,MIR5186,148
979,IGKV6D-41,317
980,MIR6721,53
981,TREML3P,298
982,MIR548AW,10
983,TRAV34,175
984,IGLV3-16,85
985,OR2A3P,186
986,H3Y2,65
987,OR2W2P,273
988,MIR6822,190
989,OR5M4P,30
990,OR51H1,242
991,USP17L25,44
992,MIR1255B2,15
993,ERLIN1,260
994,DUXAP6,98
995,IGHV3-30-3,106
996,GOLGA8T,18
997,OR8J2,181
998,IGKV1-27,82
999,IGKV2D-28,24
1000,PCDHGA7,25
1001,MIR6770-1,17
1002,MIR6786,47
1003,FAM90A3P,88
1004,IGKV1-33,24
1005,IGKV1-13,37
1006,IGKV2D-40,24
1007,SPATA31C2,234
1008,HNRNPCL2,161
1009,LILRB2,58
1010,H4C1,247
1011,PCDHGA12,25
1012,OR4Q2,229
1013,IGKV3-20,22
1014,MIR8071-1,61
1015,PGA3,8
1016,PRAMEF15,12
1017,TRBJ1-2,81
1018,IGHV3-30,22
1019,IGKV1-5,51
1020,OR51P1P,46
1021,MIR3118-1,36
1022,TRAJ36,1
1023,MIR6800,200
1024,MIR4444-1,223
1025,MIR7114,47
1026,MIR6735,87
1027,TRAJ52,1
1028,MIR4685,71
1029,MIR6507,188
1030,H3C15,49
1031,GAGE12G,11
1032,OR11G1P,185
1033,IGKV2-28,22
1034,H4C15,9
1035,MOGAT3,217
1036,PLA2G5,31
1037,MIR4662A,209
1038,HLA-A,204
1039,TTTY4C,74
1040,IGHV3-64D,231
1041,TRAJ5,1
1042,PLSCR5,86
1043,MIR6854,10
1044,OR2AH1P,84
1045,PRAMEF4,12
1046,MIR6832,53
1047,MIR7703,307
1048,SMCO1,184
1049,H1-7,133
1050,MAGED4B,189
1051,IGHV3-49,116
1052,TRBV2,103
1053,MIR4650-2,302
1054,MIR6743,47
1055,MIR6757,52
1056,OR5BN2P,92
1057,MIR6731,15
1058,IGHV1-69-2,116
1059,PRAMEF18,12
1060,MIR1972-2,259
1061,MIR103B1,237
1062,PRAMEF6,12
1063,DGAT2L6,217
1064,TRAJ12,1
1065,LINC02876,88
1066,OR7A18P,77
1067,GAGE12E,179
1068,IGLV10-54,85
1069,DUX3,152
1070,OR4A43P,90
1071,MIR4776-1,51
1072,IGKV1-17,22
1073,OR8F1P,150
1074,TUBA3E,309
1075,TRAJ51,20
1076,TRAJ47,1
1077,IGHG2,215
1078,ATP10A,86
1079,MIR8485,91
1080,OR4A21P,30
1081,MIR6742,47
1082,DCD,309
1083,IGKV1D-37,37
1084,IGHV4OR15-8,111
1085,TRBV6-6,26
1086,LGALS9C,138
1087,OR13D2P,98
1088,MIR6817,147
1089,MIR6837,73
1090,MIR3915,95
