okved,cluster
ARHGAP30,85
MIR1273H,67
MIR5707,50
IGHV3-11,18
MIR6876,9
OR4C10P,11
IGLV2-8,25
OR9G3P,27
H3C14,29
MIR8074,6
MIR5701-2,87
IGHV3-7,25
MIR5695,7
OR4C7P,42
OR7E160P,74
MIR6862-1,59
IGKV1D-39,18
TRNAG-GCC,52
OR7E97P,74
OR5BE1P,27
OR4A48P,42
TRBV5-5,66
PCDHA11,84
IGHV3-9,18
TRAV13-1,46
MIR548AX,21
PRAMEF14,56
OR8K4P,36
IGHV1-24,49
OR5M13P,27
IGLV1-40,25
OR10G1P,79
OR4A4P,54
TRNAG-UCC,52
USP17L11,32
MIR3115,55
USP17L21,32
MIR544B,68
TRAJ22,0
IGHV3OR16-13,26
OR52Z1P,37
ATP8A1,3
IGKV1D-42,76
OR7E109P,54
IGLV3-25,25
IGLV8-61,14
MIR6885,6
TRAJ43,0
MIR4507,67
TRAJ21,0
USP17L23,32
H2AC3P,2
TRAV28,79
MIR7704,67
TRAV6,80
TRAJ32,0
OR5AK1P,38
OR4A50P,36
OR9H1P,2
TRBV4-1,8
MIR6746,4
ACBD7-DCLRE1CP1,64
OR9M1P,53
GOLGA8N,71
OR56A4,47
MIR4438,33
MIR4264,41
IGKV4-1,75
MIR6858,21
OR4A6P,11
MIR6826,68
MIR7155,50
MIR6847,9
TRAV32,79
MIR5584,28
TRAV26-2,80
MIR5691,4
IGHV1-69,25
MIR6511A3,65
MIR4327,16
OR56A1,47
OR4A46P,53
MIR3135A,61
MIR3116-2,28
MIR6793,6
OR51A9P,37
PCDHA7,84
MIR6721,73
MIR548AW,48
TRAV34,80
IGLV3-16,14
H3Y2,85
MIR6822,68
OR5M4P,27
USP17L25,32
MIR1255B2,28
DUXAP6,2
IGHV3-30-3,72
GOLGA8T,71
IGKV1-27,83
IGKV2D-28,18
PCDHGA7,35
MIR6770-1,59
MIR6786,7
IGKV1-33,18
IGKV1-13,76
IGKV2D-40,18
